"number"; "team"                   ; "matches"; "wins"; "draws"; "loses"; "goals"; "ga"; "points"; "xG" ; "xGA"; "xPTS"
       1; "Arsenal"                ;        33;     21;       7;       5;      63;   26;       70; 66.19; 29.05;  69.31
       2; "Manchester City"        ;        32;     20;       7;       5;      65;   29;       67; 65.55; 38.58;  62.9
       3; "Manchester United"      ;        33;     16;      10;       7;      58;   45;       58; 60.63; 44.17;  54.26
       4; "Aston Villa"            ;        33;     17;       7;       9;      47;   41;       58; 47.97; 49.68;  43.57
       5; "Liverpool"              ;        33;     16;       7;      10;      54;   43;       55; 59.61; 44.53;  55.88
       6; "Chelsea"                ;        33;     13;       9;      11;      53;   42;       48; 67.13; 48.18;  55.22
       7; "Brentford"              ;        33;     13;       9;      11;      48;   44;       48; 59   ; 47.32;  52.2
       8; "Bournemouth"            ;        33;     11;      15;       7;      50;   50;       48; 58.58; 50.3 ;  52.18
       9; "Brighton"               ;        33;     12;      11;      10;      45;   39;       47; 48.87; 46.73;  46.64
      10; "Everton"                ;        33;     13;       8;      12;      40;   39;       47; 43.38; 50.76;  41.32
      11; "Sunderland"             ;        33;     12;      10;      11;      36;   40;       46; 36.75; 54.05;  35.15
      12; "Fulham"                 ;        33;     13;       6;      14;      43;   46;       45; 43.19; 53.11;  37.94
      13; "Crystal Palace"         ;        31;     11;       9;      11;      35;   36;       42; 52.3 ; 46.17;  46.14
      14; "Newcastle United"       ;        33;     12;       6;      15;      46;   49;       42; 52.59; 50.65;  47.01
      15; "Leeds"                  ;        33;      9;      12;      12;      42;   49;       39; 51.89; 47.52;  50.06
      16; "Nottingham Forest"      ;        33;      9;       9;      15;      36;   45;       36; 39.72; 54.68;  35.18
      17; "West Ham"               ;        32;      8;       8;      16;      40;   57;       32; 41.42; 58.48;  36.25
      18; "Tottenham"              ;        33;      7;      10;      16;      42;   53;       31; 39.56; 50.99;  40.02
      19; "Burnley"                ;        33;      4;       8;      21;      34;   67;       20; 32.34; 71.25;  21.65
      20; "Wolverhampton Wanderers";        33;      3;       8;      22;      24;   61;       17; 30.86; 61.32;  28.26
