,avg_points,matches,goals_scored,goals_conceded,total_points
Arsenal,2.121212121212121,33.0,1.9090909090909092,0.7878787878787878,70.0
Man City,2.09375,32.0,2.03125,0.90625,67.0
Aston Villa,1.7575757575757576,33.0,1.4242424242424243,1.2424242424242424,58.0
Man Utd,1.7575757575757576,33.0,1.7575757575757576,1.3636363636363635,58.0
Liverpool,1.6666666666666667,33.0,1.6363636363636365,1.303030303030303,55.0
Chelsea,1.4545454545454546,33.0,1.606060606060606,1.2727272727272727,48.0
Brentford,1.4545454545454546,33.0,1.4545454545454546,1.3333333333333333,48.0
Bournemouth,1.4545454545454546,33.0,1.5151515151515151,1.5151515151515151,48.0
Everton,1.4242424242424243,33.0,1.2121212121212122,1.1818181818181819,47.0
Brighton,1.4242424242424243,33.0,1.3636363636363635,1.1818181818181819,47.0
Sunderland,1.393939393939394,33.0,1.0909090909090908,1.2121212121212122,46.0
Fulham,1.3636363636363635,33.0,1.303030303030303,1.393939393939394,45.0
Crystal Palace,1.3548387096774193,31.0,1.1290322580645162,1.1612903225806452,42.0
Newcastle,1.2727272727272727,33.0,1.393939393939394,1.4848484848484849,42.0
Leeds,1.1818181818181819,33.0,1.2727272727272727,1.4848484848484849,39.0
Nott'm Forest,1.0909090909090908,33.0,1.0909090909090908,1.3636363636363635,36.0
West Ham,1.0,32.0,1.25,1.78125,32.0
Spurs,0.9393939393939394,33.0,1.2727272727272727,1.606060606060606,31.0
Burnley,0.6060606060606061,33.0,1.0303030303030303,2.0303030303030303,20.0
Wolves,0.5151515151515151,33.0,0.7272727272727273,1.8484848484848484,17.0
