,avg_points,matches,goals_scored,goals_conceded
Everton,1.1578947368421053,114.0,1.0175438596491229,1.3333333333333333
Chelsea,1.543859649122807,114.0,1.5701754385964912,1.3421052631578947
Manchester City,2.2017543859649122,114.0,2.2982456140350878,0.9736842105263158
Tottenham,1.4385964912280702,114.0,1.8245614035087718,1.6578947368421053
Fulham,1.3421052631578947,114.0,1.4385964912280702,1.4736842105263157
Leeds,0.8157894736842105,38.0,1.263157894736842,2.0526315789473686
Sheffield Utd,0.42105263157894735,38.0,0.9210526315789473,2.736842105263158
Leicester,0.7763157894736842,76.0,1.105263157894737,1.9473684210526316
Aston Villa,1.7105263157894737,114.0,1.6228070175438596,1.3859649122807018
Brighton,1.5,114.0,1.6929824561403508,1.5263157894736843
Bournemouth,1.2543859649122806,114.0,1.3070175438596492,1.6140350877192982
Arsenal,2.1666666666666665,114.0,2.175438596491228,0.9298245614035088
West Ham,1.1842105263157894,114.0,1.2982456140350878,1.6754385964912282
Liverpool,2.043859649122807,114.0,2.1666666666666665,1.131578947368421
Wolves,1.131578947368421,114.0,1.1842105263157894,1.6842105263157894
Newcastle,1.7280701754385965,114.0,1.9385964912280702,1.2456140350877194
Crystal Palace,1.2894736842105263,114.0,1.2982456140350878,1.3859649122807018
Luton,0.6842105263157895,38.0,1.368421052631579,2.236842105263158
Manchester United,1.5526315789473684,114.0,1.394736842105263,1.3596491228070176
Nottingham Forest,1.219298245614035,114.0,1.2719298245614035,1.587719298245614
Ipswich,0.5789473684210527,38.0,0.9473684210526315,2.1578947368421053
Brentford,1.3508771929824561,114.0,1.5789473684210527,1.4736842105263157
Burnley,0.631578947368421,38.0,1.0789473684210527,2.0526315789473686
Southampton,0.4868421052631579,76.0,0.8157894736842105,2.0921052631578947
